newOrAppend 	uri	relation1.possiblyIdentical	nameHeadword.en	nameHeadword.syr	placeType	abstract.en	sourceURI.abstract.en	citedRange.abstract.en	name1.en	sourceURI.name1	citedRange.name1	name2.en	sourceURI.name2	citedRange.name2	name3.syr	sourceURI.name3	citedRange.name3	name4.syr	sourceURI.name4	citedRange.name4	idno	idno	idno	nestedName.settlement	nestedURI.settlement	sourceURI.nested.settlement	citedRange.nested.settlement	nestedName.region	nestedURI.region	sourceURI.nested.region	citedRange.nested.region	note.disambiguation	sourceURI.note.disambiguation	citedRange.note.disambiguation	note.incerta	sourceURI.note.incerta	citedRange.note.incerta	misc comments
new	3058		Trebizond	ܛܪܦܙܘܢܛܐ	settlement	A settlement on the Black Sea coast			Trabizond			Trabzon			ܛܪܦܙܘܢܛܐ	http://syriaca.org/bibl/2032	685 [483]				https://pleiades.stoa.org/places/857359	https://en.wikipedia.org/wiki/Trabzon						Pontus	http://syriaca.org/place/633									
new	3059		Trebizond	ܛܪܦܙܘܢܛܐ	diocese	A diocese associated with the settlement of Trebizond			Trabizond			Trabzon			ܛܪܦܙܘܢܛܐ	http://syriaca.org/bibl/2032	685 [483]											Pontus	http://syriaca.org/place/633									
new	3060		Monastery at Tagais	ܕܝܪܐ ܕܒܛܐܓܐܝܣ	monastery	A monastery at Tagai	http://syriaca.org/bibl/669	283							ܕܝܪܐ ܕܒܛܐܓܐܝܣ	http://syriaca.org/bibl/667	318							Tagai	http://syriaca.org/place/1475	http://syriaca.org/bibl/669	283											
